,,,Independent Variable,Independent Variable,Independent Variable,Distance moved,Velocity,In zone 2,In zone 2,In zone 2,In zone 2,In zone 2,In zone 2,In zone 2,In zone 2,In zone 2,In zone 2,In zone 2,In zone 2
,,,Independent Variable,Independent Variable,Independent Variable,center-point,center-point,Arena / center-point,Arena / center-point,Arena / center-point,neutral zone / center-point,neutral zone / center-point,neutral zone / center-point,hot zone / center-point,hot zone / center-point,hot zone / center-point,inner circle / center-point,inner circle / center-point,inner circle / center-point
,,,mouse id,test,treatment,Total,Mean,Frequency,Cumulative Duration,Latency to First,Frequency,Cumulative Duration,Latency to First,Frequency,Cumulative Duration,Latency to First,Frequency,Cumulative Duration,Latency to First
,,,,,,cm,cm/s,,s,s,,s,s,,s,s,,s,s
Result 1,Trial    24,0:13:00-0:14:00,589,test2,drug,461.785,7.69642,1,60,780,0,0,-,0,0,-,1,1.92,793.08
Result 1,Trial    24,0:14:00-0:15:00,589,test2,drug,308.072,5.13454,1,60,840,0,0,-,0,0,-,1,0.8,893.08
Result 1,Trial    24,0:15:00-0:16:00,589,test2,drug,328.307,5.47179,1,60,900,0,0,-,0,0,-,1,0.72,921.36
Result 1,Trial    24,0:16:00-0:17:00,589,test2,drug,552.975,9.21626,1,60,960,0,0,-,0,0,-,2,1.52,967.4
Result 1,Trial    24,0:17:00-0:18:00,589,test2,drug,498.597,8.30996,1,60,1020,0,0,-,0,0,-,6,15.24,1042.72
Result 1,Trial    24,0:18:00-0:19:00,589,test2,drug,557.657,9.29428,1,60,1080,0,0,-,0,0,-,1,0.28,1139.72
Result 1,Trial    24,0:19:00-0:20:00,589,test2,drug,289.85,4.83083,1,60,1140,0,0,-,0,0,-,1,0.2,1140
Result 1,Trial    25,Start-0:01:00,592,test2,drug,1286.61,21.4578,1,60,0,0,0,-,0,0,-,1,1.92,17.8
Result 1,Trial    25,0:01:00-0:02:00,592,test2,drug,1118.78,18.6463,1,60,60,0,0,-,0,0,-,6,7.12,70.2
Result 1,Trial    25,0:02:00-0:03:00,592,test2,drug,1492.85,24.8809,1,60,120,0,0,-,0,0,-,11,7.32,120
Result 1,Trial    25,0:03:00-0:04:00,592,test2,drug,1123.79,18.7298,1,60,180,0,0,-,0,0,-,10,13.96,184.12
Result 1,Trial    25,0:04:00-0:05:00,592,test2,drug,807.172,13.4529,1,60,240,0,0,-,0,0,-,5,3.48,240
Result 1,Trial    25,0:05:00-0:06:00,592,test2,drug,772.755,12.8792,1,60,300,0,0,-,0,0,-,7,10.8,301.32
Result 1,Trial    25,0:06:00-0:07:00,592,test2,drug,653.348,10.8891,1,60,360,0,0,-,0,0,-,4,11.08,362.04
Result 1,Trial    25,0:07:00-0:08:00,592,test2,drug,911.537,15.1923,1,60,420,0,0,-,0,0,-,4,5.2,421.36
Result 1,Trial    25,0:08:00-0:09:00,592,test2,drug,814.861,13.581,1,60,480,0,0,-,0,0,-,7,9.2,489.84
Result 1,Trial    25,0:09:00-0:10:00,592,test2,drug,853.234,14.2206,1,60,540,0,0,-,0,0,-,5,8.88,541.8
Result 1,Trial    25,0:10:00-0:11:00,592,test2,drug,445.755,7.42924,1,60,600,0,0,-,0,0,-,4,28.96,612.6
Result 1,Trial    25,0:11:00-0:12:00,592,test2,drug,486.795,8.11326,1,60,660,0,0,-,0,0,-,3,12.04,665.6
Result 1,Trial    25,0:12:00-0:13:00,592,test2,drug,699.295,11.6549,1,60,720,0,0,-,0,0,-,5,10,726.52
Result 1,Trial    25,0:13:00-0:14:00,592,test2,drug,780.029,13.0005,1,60,780,0,0,-,0,0,-,4,6.44,787.8
Result 1,Trial    25,0:14:00-0:15:00,592,test2,drug,591.171,9.85285,1,60,840,0,0,-,0,0,-,2,3.72,877.6
Result 1,Trial    25,0:15:00-0:16:00,592,test2,drug,304.782,5.0797,1,60,900,0,0,-,0,0,-,3,8.24,923.92
Result 1,Trial    25,0:16:00-0:17:00,592,test2,drug,424.38,7.073,1,60,960,0,0,-,0,0,-,3,2.52,962.2
Result 1,Trial    25,0:17:00-0:18:00,592,test2,drug,624.119,10.402,1,60,1020,0,0,-,0,0,-,7,6.32,1023.92
Result 1,Trial    25,0:18:00-0:19:00,592,test2,drug,413.817,6.89695,1,60,1080,0,0,-,0,0,-,5,14.32,1083.2
Result 1,Trial    25,0:19:00-0:20:00,592,test2,drug,211.374,3.52291,1,60,1140,0,0,-,0,0,-,3,8.24,1140
Result 1,Trial    26,Start-0:01:00,585,test2,drug,703.696,11.7361,1,60,0,0,0,-,0,0,-,5,9.72,1.68
Result 1,Trial    26,0:01:00-0:02:00,585,test2,drug,672.432,11.2072,1,60,60,0,0,-,0,0,-,3,3.04,67.64
Result 1,Trial    26,0:02:00-0:03:00,585,test2,drug,523.613,8.72688,1,60,120,0,0,-,0,0,-,4,5.36,129.24
Result 1,Trial    26,0:03:00-0:04:00,585,test2,drug,536.364,8.9394,1,60,180,0,0,-,0,0,-,5,5.32,183
Result 1,Trial    26,0:04:00-0:05:00,585,test2,drug,605.748,10.0958,1,60,240,0,0,-,0,0,-,6,14.2,240
Result 1,Trial    26,0:05:00-0:06:00,585,test2,drug,549.255,9.15424,1,60,300,0,0,-,0,0,-,6,10.2,300.84
Result 1,Trial    26,0:06:00-0:07:00,585,test2,drug,499.803,8.33005,1,60,360,0,0,-,0,0,-,3,6.08,360
Result 1,Trial    26,0:07:00-0:08:00,585,test2,drug,541.274,9.02123,1,60,420,0,0,-,0,0,-,5,3.4,422.28
Result 1,Trial    26,0:08:00-0:09:00,585,test2,drug,194.894,3.24823,1,60,480,0,0,-,0,0,-,1,8.08,503.64
Result 1,Trial    26,0:09:00-0:10:00,585,test2,drug,266.194,4.43656,1,60,540,0,0,-,0,0,-,1,0.16,544.56
Result 1,Trial    26,0:10:00-0:11:00,585,test2,drug,596.264,9.93773,1,60,600,0,0,-,0,0,-,1,1,617.68
Result 1,Trial    26,0:11:00-0:12:00,585,test2,drug,612.587,10.2098,1,60,660,0,0,-,0,0,-,7,13.84,676.4
Result 1,Trial    26,0:12:00-0:13:00,585,test2,drug,594.383,9.90638,1,60,720,0,0,-,0,0,-,5,5.84,720
Result 1,Trial    26,0:13:00-0:14:00,585,test2,drug,488.432,8.14053,1,60,780,0,0,-,0,0,-,6,26.52,792.64
Result 1,Trial    26,0:14:00-0:15:00,585,test2,drug,465.714,7.7619,1,60,840,0,0,-,0,0,-,0,0,-
Result 1,Trial    26,0:15:00-0:16:00,585,test2,drug,104.12,1.73533,1,60,900,0,0,-,0,0,-,0,0,-
Result 1,Trial    26,0:16:00-0:17:00,585,test2,drug,263.655,4.39425,1,60,960,0,0,-,0,0,-,4,6.08,963.4
Result 1,Trial    26,0:17:00-0:18:00,585,test2,drug,107.966,1.79943,1,60,1020,0,0,-,0,0,-,0,0,-
Result 1,Trial    26,0:18:00-0:19:00,585,test2,drug,439.95,7.3325,1,60,1080,0,0,-,0,0,-,4,9.04,1086.72
Result 1,Trial    26,0:19:00-0:20:00,585,test2,drug,481.227,8.02045,1,60,1140,0,0,-,0,0,-,6,17.52,1153.04
Result 1,Trial    27,Start-0:01:00,584,test2,drug,950.475,15.8518,1,60,0,0,0,-,0,0,-,5,6.28,2.6
Result 1,Trial    27,0:01:00-0:02:00,584,test2,drug,593.233,9.88721,1,60,60,0,0,-,0,0,-,3,3.08,88.36
Result 1,Trial    27,0:02:00-0:03:00,584,test2,drug,595.652,9.92754,1,60,120,0,0,-,0,0,-,6,15.4,123.24
Result 1,Trial    27,0:03:00-0:04:00,584,test2,drug,672.95,11.2158,1,60,180,0,0,-,0,0,-,5,7.8,183.8
Result 1,Trial    27,0:04:00-0:05:00,584,test2,drug,587.471,9.79118,1,60,240,0,0,-,0,0,-,7,8.6,240
Result 1,Trial    27,0:05:00-0:06:00,584,test2,drug,510.774,8.51289,1,60,300,0,0,-,0,0,-,4,5.72,311.52
Result 1,Trial    27,0:06:00-0:07:00,584,test2,drug,479.474,7.99123,1,60,360,0,0,-,0,0,-,5,15.2,368.6
Result 1,Trial    27,0:07:00-0:08:00,584,test2,drug,440.918,7.34863,1,60,420,0,0,-,0,0,-,2,3.8,433.12
Result 1,Trial    27,0:08:00-0:09:00,584,test2,drug,400.249,6.67081,1,60,480,0,0,-,0,0,-,3,7.04,508.84
Result 1,Trial    27,0:09:00-0:10:00,584,test2,drug,464.804,7.74673,1,60,540,0,0,-,0,0,-,4,3.64,546.4
Result 1,Trial    27,0:10:00-0:11:00,584,test2,drug,570.114,9.5019,1,60,600,0,0,-,0,0,-,3,6.88,611.08
Result 1,Trial    27,0:11:00-0:12:00,584,test2,drug,521.297,8.68829,1,60,660,0,0,-,0,0,-,4,10.48,669.48
Result 1,Trial    27,0:12:00-0:13:00,584,test2,drug,568.788,9.47981,1,60,720,0,0,-,0,0,-,3,2.72,721
Result 1,Trial    27,0:13:00-0:14:00,584,test2,drug,245.89,4.09817,1,60,780,0,0,-,0,0,-,3,6.72,781.48
Result 1,Trial    27,0:14:00-0:15:00,584,test2,drug,262.217,4.37028,1,60,840,0,0,-,0,0,-,2,5.2,866.76
Result 1,Trial    27,0:15:00-0:16:00,584,test2,drug,326.546,5.44244,1,60,900,0,0,-,0,0,-,2,3.24,915.52
Result 1,Trial    27,0:16:00-0:17:00,584,test2,drug,307.855,5.13091,1,60,960,0,0,-,0,0,-,3,8.24,985.4
Result 1,Trial    27,0:17:00-0:18:00,584,test2,drug,396.752,6.61253,1,60,1020,0,0,-,0,0,-,3,6.52,1025.48
Result 1,Trial    27,0:18:00-0:19:00,584,test2,drug,435.436,7.25726,1,60,1080,0,0,-,0,0,-,0,0,-
Result 1,Trial    27,0:19:00-0:20:00,584,test2,drug,680.224,11.3371,1,60,1140,0,0,-,0,0,-,3,3.08,1140.44
Result 1,Trial    28,Start-0:01:00,582,test2,saline,639.498,10.6654,1,60,0,0,0,-,0,0,-,5,7.16,15.88
Result 1,Trial    28,0:01:00-0:02:00,582,test2,saline,560.492,9.34153,1,60,60,0,0,-,0,0,-,6,11.8,63.36
Result 1,Trial    28,0:02:00-0:03:00,582,test2,saline,510.499,8.50832,1,60,120,0,0,-,0,0,-,4,7.12,123.88
Result 1,Trial    28,0:03:00-0:04:00,582,test2,saline,541.028,9.01713,1,60,180,0,0,-,0,0,-,7,16.24,183.6
Result 1,Trial    28,0:04:00-0:05:00,582,test2,saline,331.988,5.53313,1,60,240,0,0,-,0,0,-,3,17,240
Result 1,Trial    28,0:05:00-0:06:00,582,test2,saline,515.489,8.59148,1,60,300,0,0,-,0,0,-,4,12.68,301.36
Result 1,Trial    28,0:06:00-0:07:00,582,test2,saline,331.452,5.52421,1,60,360,0,0,-,0,0,-,4,14.28,377.64
Result 1,Trial    28,0:07:00-0:08:00,582,test2,saline,388.768,6.47947,1,60,420,0,0,-,0,0,-,4,8,442.44
Result 1,Trial    28,0:08:00-0:09:00,582,test2,saline,427.69,7.12816,1,60,480,0,0,-,0,0,-,2,2.4,494.68
Result 1,Trial    28,0:09:00-0:10:00,582,test2,saline,421.156,7.01927,1,60,540,0,0,-,0,0,-,4,8.96,553.48
Result 1,Trial    28,0:10:00-0:11:00,582,test2,saline,382.688,6.37813,1,60,600,0,0,-,0,0,-,4,20.48,604.08
Result 1,Trial    28,0:11:00-0:12:00,582,test2,saline,128.925,2.14875,1,60,660,0,0,-,0,0,-,1,29.4,690.6
Result 1,Trial    28,0:12:00-0:13:00,582,test2,saline,246.589,4.10982,1,60,720,0,0,-,0,0,-,2,11.96,720
Result 1,Trial    28,0:13:00-0:14:00,582,test2,saline,368.903,6.14838,1,60,780,0,0,-,0,0,-,5,23.48,780.56
Result 1,Trial    28,0:14:00-0:15:00,582,test2,saline,267.518,4.45863,1,60,840,0,0,-,0,0,-,4,7.04,840
Result 1,Trial    28,0:15:00-0:16:00,582,test2,saline,370.292,6.17153,1,60,900,0,0,-,0,0,-,3,12.24,900
Result 1,Trial    28,0:16:00-0:17:00,582,test2,saline,501.273,8.35454,1,60,960,0,0,-,0,0,-,3,19.6,960.52
Result 1,Trial    28,0:17:00-0:18:00,582,test2,saline,424.133,7.06889,1,60,1020,0,0,-,0,0,-,3,7.36,1041.88
Result 1,Trial    28,0:18:00-0:19:00,582,test2,saline,416.132,6.93554,1,60,1080,0,0,-,0,0,-,3,6.08,1104.52
Result 1,Trial    28,0:19:00-0:20:00,582,test2,saline,127.366,2.12277,1,60,1140,0,0,-,0,0,-,0,0,-
Result 1,Trial    29,Start-0:01:00,590,test2,saline,692.805,11.5544,1,60,0,0,0,-,0,0,-,2,1.44,19.92
Result 1,Trial    29,0:01:00-0:02:00,590,test2,saline,439.34,7.32233,1,60,60,0,0,-,0,0,-,4,5.6,69.64
Result 1,Trial    29,0:02:00-0:03:00,590,test2,saline,466.659,7.77764,1,60,120,0,0,-,0,0,-,2,3.72,125.44
Result 1,Trial    29,0:03:00-0:04:00,590,test2,saline,483.721,8.06202,1,60,180,0,0,-,0,0,-,3,1.08,185.8
Result 1,Trial    29,0:04:00-0:05:00,590,test2,saline,520.194,8.66991,1,60,240,0,0,-,0,0,-,2,9.72,252.48
Result 1,Trial    29,0:05:00-0:06:00,590,test2,saline,432.984,7.2164,1,60,300,0,0,-,0,0,-,3,4.48,305
Result 1,Trial    29,0:06:00-0:07:00,590,test2,saline,440.216,7.33694,1,60,360,0,0,-,0,0,-,4,8.56,366.16
Result 1,Trial    29,0:07:00-0:08:00,590,test2,saline,361.452,6.0242,1,60,420,0,0,-,0,0,-,2,4.36,426.72
Result 1,Trial    29,0:08:00-0:09:00,590,test2,saline,313.956,5.2326,1,60,480,0,0,-,0,0,-,2,11.48,480
Result 1,Trial    29,0:09:00-0:10:00,590,test2,saline,453.244,7.55406,1,60,540,0,0,-,0,0,-,2,2.68,550.28
Result 1,Trial    29,0:10:00-0:11:00,590,test2,saline,570.809,9.51349,1,60,600,0,0,-,0,0,-,1,0.6,609.44
Result 1,Trial    29,0:11:00-0:12:00,590,test2,saline,436.885,7.28142,1,60,660,0,0,-,0,0,-,1,2.96,702.88
Result 1,Trial    29,0:12:00-0:13:00,590,test2,saline,301.711,5.02852,1,60,720,0,0,-,0,0,-,8,19.72,745.28
Result 1,Trial    29,0:13:00-0:14:00,590,test2,saline,471.231,7.85384,1,60,780,0,0,-,0,0,-,1,7.76,780
Result 1,Trial    29,0:14:00-0:15:00,590,test2,saline,303.466,5.05777,1,60,840,0,0,-,0,0,-,5,14.72,840.8
Result 1,Trial    29,0:15:00-0:16:00,590,test2,saline,397.576,6.62627,1,60,900,0,0,-,0,0,-,2,16.16,922.48
Result 1,Trial    29,0:16:00-0:17:00,590,test2,saline,391.467,6.52444,1,60,960,0,0,-,0,0,-,2,8.92,999.2
Result 1,Trial    29,0:17:00-0:18:00,590,test2,saline,153.206,2.55343,1,60,1020,0,0,-,0,0,-,1,3.48,1020
Result 1,Trial    29,0:18:00-0:19:00,590,test2,saline,409.268,6.82114,1,60,1080,0,0,-,0,0,-,4,4.48,1084.4
Result 1,Trial    29,0:19:00-0:20:00,590,test2,saline,302.666,5.04444,1,60,1140,0,0,-,0,0,-,2,18.16,1148.44
Result 1,Trial    30,Start-0:01:00,591,test2,saline,727.587,12.1345,1,60,0,0,0,-,0,0,-,3,5.2,7.44
Result 1,Trial    30,0:01:00-0:02:00,591,test2,saline,692.776,11.5463,1,60,60,0,0,-,0,0,-,0,0,-
Result 1,Trial    30,0:02:00-0:03:00,591,test2,saline,516.652,8.61087,1,60,120,0,0,-,0,0,-,1,0.64,124.56
Result 1,Trial    30,0:03:00-0:04:00,591,test2,saline,653.15,10.8858,1,60,180,0,0,-,0,0,-,1,0.6,239.36
Result 1,Trial    30,0:04:00-0:05:00,591,test2,saline,547.554,9.1259,1,60,240,0,0,-,0,0,-,3,11.56,278.92
Result 1,Trial    30,0:05:00-0:06:00,591,test2,saline,694.454,11.5742,1,60,300,0,0,-,0,0,-,4,10.52,300
Result 1,Trial    30,0:06:00-0:07:00,591,test2,saline,493.254,8.2209,1,60,360,0,0,-,0,0,-,1,1.64,400.28
Result 1,Trial    30,0:07:00-0:08:00,591,test2,saline,367.388,6.12313,1,60,420,0,0,-,0,0,-,5,17.72,425.56
Result 1,Trial    30,0:08:00-0:09:00,591,test2,saline,394.622,6.57704,1,60,480,0,0,-,0,0,-,2,10.4,487.08
Result 1,Trial    30,0:09:00-0:10:00,591,test2,saline,462.789,7.71314,1,60,540,0,0,-,0,0,-,2,3.6,552.92
Result 1,Trial    30,0:10:00-0:11:00,591,test2,saline,370.343,6.17239,1,60,600,0,0,-,0,0,-,1,0.8,651.36
Result 1,Trial    30,0:11:00-0:12:00,591,test2,saline,682.829,11.3805,1,60,660,0,0,-,0,0,-,2,7.32,664.48
Result 1,Trial    30,0:12:00-0:13:00,591,test2,saline,536.251,8.93752,1,60,720,0,0,-,0,0,-,4,9.28,722.48
Result 1,Trial    30,0:13:00-0:14:00,591,test2,saline,537.559,8.95932,1,60,780,0,0,-,0,0,-,4,10.16,790.72
Result 1,Trial    30,0:14:00-0:15:00,591,test2,saline,542.013,9.03355,1,60,840,0,0,-,0,0,-,5,10.72,840
Result 1,Trial    30,0:15:00-0:16:00,591,test2,saline,400.414,6.67357,1,60,900,0,0,-,0,0,-,3,13.24,900
Result 1,Trial    30,0:16:00-0:17:00,591,test2,saline,151.643,2.52738,1,60,960,0,0,-,0,0,-,0,0,-
Result 1,Trial    30,0:17:00-0:18:00,591,test2,saline,530.443,8.84072,1,60,1020,0,0,-,0,0,-,3,10.96,1034.36
Result 1,Trial    30,0:18:00-0:19:00,591,test2,saline,784.587,13.0765,1,60,1080,0,0,-,0,0,-,0,0,-
Result 1,Trial    30,0:19:00-0:20:00,591,test2,saline,559.895,9.33158,1,60,1140,0,0,-,0,0,-,8,18.24,1146.32
Result 1,Trial    31,Start-0:01:00,586,test2,saline,518.427,8.64622,1,60,0,0,0,-,0,0,-,2,4.08,20.52
Result 1,Trial    31,0:01:00-0:02:00,586,test2,saline,269.149,4.48582,1,60,60,0,0,-,0,0,-,0,0,-
Result 1,Trial    31,0:02:00-0:03:00,586,test2,saline,194.146,3.23577,1,60,120,0,0,-,0,0,-,1,1.48,152.16
Result 1,Trial    31,0:03:00-0:04:00,586,test2,saline,379.83,6.3305,1,60,180,0,0,-,0,0,-,0,0,-
Result 1,Trial    31,0:04:00-0:05:00,586,test2,saline,428.586,7.1431,1,60,240,0,0,-,0,0,-,2,1.92,252.48
Result 1,Trial    31,0:05:00-0:06:00,586,test2,saline,229.642,3.82736,1,60,300,0,0,-,0,0,-,2,9,339.96
Result 1,Trial    31,0:06:00-0:07:00,586,test2,saline,253.559,4.22598,1,60,360,0,0,-,0,0,-,1,7.48,389.36
Result 1,Trial    31,0:07:00-0:08:00,586,test2,saline,400.084,6.66806,1,60,420,0,0,-,0,0,-,0,0,-
Result 1,Trial    31,0:08:00-0:09:00,586,test2,saline,229.516,3.82527,1,60,480,0,0,-,0,0,-,1,1.72,514.04
Result 1,Trial    31,0:09:00-0:10:00,586,test2,saline,386.895,6.44825,1,60,540,0,0,-,0,0,-,2,5.8,548.24
Result 1,Trial    31,0:10:00-0:11:00,586,test2,saline,414.516,6.9086,1,60,600,0,0,-,0,0,-,2,18.6,601.72
Result 1,Trial    31,0:11:00-0:12:00,586,test2,saline,385.208,6.42013,1,60,660,0,0,-,0,0,-,3,24.36,675.64
Result 1,Trial    31,0:12:00-0:13:00,586,test2,saline,328.492,5.47487,1,60,720,0,0,-,0,0,-,3,8.24,766.88
Result 1,Trial    31,0:13:00-0:14:00,586,test2,saline,405.116,6.75193,1,60,780,0,0,-,0,0,-,2,24.92,795.6
Result 1,Trial    31,0:14:00-0:15:00,586,test2,saline,417.423,6.95705,1,60,840,0,0,-,0,0,-,4,6.56,850.96
Result 1,Trial    31,0:15:00-0:16:00,586,test2,saline,295.836,4.93061,1,60,900,0,0,-,0,0,-,4,26.16,900
Result 1,Trial    31,0:16:00-0:17:00,586,test2,saline,320.827,5.34712,1,60,960,0,0,-,0,0,-,4,15.96,960
Result 1,Trial    31,0:17:00-0:18:00,586,test2,saline,258.473,4.30788,1,60,1020,0,0,-,0,0,-,3,12.64,1045.12
Result 1,Trial    31,0:18:00-0:19:00,586,test2,saline,200.037,3.33395,1,60,1080,0,0,-,0,0,-,2,10.52,1109.6
Result 1,Trial    31,0:19:00-0:20:00,586,test2,saline,402.558,6.70931,1,60,1140,0,0,-,0,0,-,3,11.84,1147.16
Result 1,Trial    32,Start-0:01:00,583,test2,saline,564.544,9.41535,1,60,0,0,0,-,0,0,-,3,5.84,8.44
Result 1,Trial    32,0:01:00-0:02:00,583,test2,saline,594.996,9.9166,1,60,60,0,0,-,0,0,-,3,5.76,60.76
Result 1,Trial    32,0:02:00-0:03:00,583,test2,saline,358.625,5.97708,1,60,120,0,0,-,0,0,-,2,9.16,120
Result 1,Trial    32,0:03:00-0:04:00,583,test2,saline,484.2,8.07001,1,60,180,0,0,-,0,0,-,8,10.76,194.84
Result 1,Trial    32,0:04:00-0:05:00,583,test2,saline,367.819,6.13031,1,60,240,0,0,-,0,0,-,10,16.36,243.8
Result 1,Trial    32,0:05:00-0:06:00,583,test2,saline,321.585,5.35976,1,60,300,0,0,-,0,0,-,2,5.4,332.24
Result 1,Trial    32,0:06:00-0:07:00,583,test2,saline,513.065,8.55108,1,60,360,0,0,-,0,0,-,3,4.2,367.92
Result 1,Trial    32,0:07:00-0:08:00,583,test2,saline,371.306,6.18843,1,60,420,0,0,-,0,0,-,3,16.84,428.36
Result 1,Trial    32,0:08:00-0:09:00,583,test2,saline,388.1,6.46834,1,60,480,0,0,-,0,0,-,2,1.52,509.68
Result 1,Trial    32,0:09:00-0:10:00,583,test2,saline,199.953,3.33255,1,60,540,0,0,-,0,0,-,1,1.08,577.68
Result 1,Trial    32,0:10:00-0:11:00,583,test2,saline,295.549,4.92582,1,60,600,0,0,-,0,0,-,2,1.68,645.6
Result 1,Trial    32,0:11:00-0:12:00,583,test2,saline,529.038,8.8173,1,60,660,0,0,-,0,0,-,1,1.28,689.44
Result 1,Trial    32,0:12:00-0:13:00,583,test2,saline,444.919,7.41531,1,60,720,0,0,-,0,0,-,1,2.2,740.2
Result 1,Trial    32,0:13:00-0:14:00,583,test2,saline,388.37,6.47284,1,60,780,0,0,-,0,0,-,2,12.64,811.32
Result 1,Trial    32,0:14:00-0:15:00,583,test2,saline,375.323,6.25538,1,60,840,0,0,-,0,0,-,2,1.16,866
Result 1,Trial    32,0:15:00-0:16:00,583,test2,saline,379.446,6.32411,1,60,900,0,0,-,0,0,-,2,10.92,902
Result 1,Trial    32,0:16:00-0:17:00,583,test2,saline,142.044,2.3674,1,60,960,0,0,-,0,0,-,1,2.28,990.4
Result 1,Trial    32,0:17:00-0:18:00,583,test2,saline,99.0907,1.65151,1,60,1020,0,0,-,0,0,-,1,7,1061.96
Result 1,Trial    32,0:18:00-0:19:00,583,test2,saline,183.673,3.06122,1,60,1080,0,0,-,0,0,-,3,35.84,1088
Result 1,Trial    32,0:19:00-0:20:00,583,test2,saline,542.119,9.03531,1,60,1140,0,0,-,0,0,-,3,5.12,1168.24
Result 1,Trial    33,Start-0:01:00,587,test2,saline,238.297,3.97427,1,60,0,0,0,-,0,0,-,2,35.12,0
Result 1,Trial    33,0:01:00-0:02:00,587,test2,saline,184.89,3.08151,1,60,60,0,0,-,0,0,-,2,1.6,118.16
Result 1,Trial    33,0:02:00-0:03:00,587,test2,saline,367.327,6.12211,1,60,120,0,0,-,0,0,-,2,14.76,120
Result 1,Trial    33,0:03:00-0:04:00,587,test2,saline,334.251,5.57084,1,60,180,0,0,-,0,0,-,2,14.92,180
Result 1,Trial    33,0:04:00-0:05:00,587,test2,saline,403.73,6.72883,1,60,240,0,0,-,0,0,-,3,1.44,268.76
Result 1,Trial    33,0:05:00-0:06:00,587,test2,saline,456.659,7.61098,1,60,300,0,0,-,0,0,-,5,24.2,300.16
Result 1,Trial    33,0:06:00-0:07:00,587,test2,saline,407.659,6.79432,1,60,360,0,0,-,0,0,-,4,6.24,373.6
Result 1,Trial    33,0:07:00-0:08:00,587,test2,saline,447.882,7.4647,1,60,420,0,0,-,0,0,-,4,29.72,420
Result 1,Trial    33,0:08:00-0:09:00,587,test2,saline,604.774,10.0796,1,60,480,0,0,-,0,0,-,6,25.36,480
Result 1,Trial    33,0:09:00-0:10:00,587,test2,saline,547.485,9.12475,1,60,540,0,0,-,0,0,-,6,22.04,540
Result 1,Trial    33,0:10:00-0:11:00,587,test2,saline,468.305,7.80508,1,60,600,0,0,-,0,0,-,2,20.76,606
Result 1,Trial    33,0:11:00-0:12:00,587,test2,saline,601.643,10.0274,1,60,660,0,0,-,0,0,-,8,15.8,660
Result 1,Trial    33,0:12:00-0:13:00,587,test2,saline,378.778,6.31297,1,60,720,0,0,-,0,0,-,6,39.68,720
Result 1,Trial    33,0:13:00-0:14:00,587,test2,saline,426.866,7.11443,1,60,780,0,0,-,0,0,-,3,15.12,780
Result 1,Trial    33,0:14:00-0:15:00,587,test2,saline,363.722,6.06203,1,60,840,0,0,-,0,0,-,4,27.68,851.72
Result 1,Trial    33,0:15:00-0:16:00,587,test2,saline,328.643,5.47738,1,60,900,0,0,-,0,0,-,2,22.12,900
Result 1,Trial    33,0:16:00-0:17:00,587,test2,saline,380.025,6.33376,1,60,960,0,0,-,0,0,-,2,15.36,985.72
Result 1,Trial    33,0:17:00-0:18:00,587,test2,saline,259.479,4.32466,1,60,1020,0,0,-,0,0,-,2,4.32,1034.16
Result 1,Trial    33,0:18:00-0:19:00,587,test2,saline,54.7201,0.912001,1,60,1080,0,0,-,0,0,-,0,0,-
Result 1,Trial    33,0:19:00-0:20:00,587,test2,saline,198.915,3.31525,1,60,1140,0,0,-,0,0,-,2,15.4,1167.72
Result 1,Trial    34,Start-0:01:00,597,test2,saline,534.136,8.90821,1,60,0,0,0,-,0,0,-,5,8.6,20.04
Result 1,Trial    34,0:01:00-0:02:00,597,test2,saline,467.579,7.79298,1,60,60,0,0,-,0,0,-,2,2.68,60
Result 1,Trial    34,0:02:00-0:03:00,597,test2,saline,361.632,6.02719,1,60,120,0,0,-,0,0,-,2,12.24,127.2
Result 1,Trial    34,0:03:00-0:04:00,597,test2,saline,371.613,6.19355,1,60,180,0,0,-,0,0,-,1,5.28,180
Result 1,Trial    34,0:04:00-0:05:00,597,test2,saline,316.48,5.27467,1,60,240,0,0,-,0,0,-,3,14.48,242.36
Result 1,Trial    34,0:05:00-0:06:00,597,test2,saline,382.577,6.37629,1,60,300,0,0,-,0,0,-,1,11.76,313.12
Result 1,Trial    34,0:06:00-0:07:00,597,test2,saline,327.528,5.4588,1,60,360,0,0,-,0,0,-,3,9.92,364.96
Result 1,Trial    34,0:07:00-0:08:00,597,test2,saline,193.787,3.22979,1,60,420,0,0,-,0,0,-,9,27.4,422.68
Result 1,Trial    34,0:08:00-0:09:00,597,test2,saline,326.415,5.44024,1,60,480,0,0,-,0,0,-,4,10.04,487.16
Result 1,Trial    34,0:09:00-0:10:00,597,test2,saline,256.711,4.27851,1,60,540,0,0,-,0,0,-,1,18.48,581.52
Result 1,Trial    34,0:10:00-0:11:00,597,test2,saline,288.596,4.80993,1,60,600,0,0,-,0,0,-,3,20.88,600
Result 1,Trial    34,0:11:00-0:12:00,597,test2,saline,156.267,2.60446,1,60,660,0,0,-,0,0,-,1,0.2,660
Result 1,Trial    34,0:12:00-0:13:00,597,test2,saline,289.081,4.81802,1,60,720,0,0,-,0,0,-,2,2.4,748.4
Result 1,Trial    34,0:13:00-0:14:00,597,test2,saline,363.86,6.06434,1,60,780,0,0,-,0,0,-,3,11.48,786.16
