,,,Independent Variable,Independent Variable,Independent Variable,Distance moved,Velocity,In zone 2,In zone 2,In zone 2,In zone 2,In zone 2,In zone 2,In zone 2,In zone 2,In zone 2,In zone 2,In zone 2,In zone 2
,,,Independent Variable,Independent Variable,Independent Variable,center-point,center-point,Arena / center-point,Arena / center-point,Arena / center-point,neutral zone / center-point,neutral zone / center-point,neutral zone / center-point,hot zone / center-point,hot zone / center-point,hot zone / center-point,inner circle / center-point,inner circle / center-point,inner circle / center-point
,,,mouse id,test,treatment,Total,Mean,Frequency,Cumulative Duration,Latency to First,Frequency,Cumulative Duration,Latency to First,Frequency,Cumulative Duration,Latency to First,Frequency,Cumulative Duration,Latency to First
,,,,,,cm,cm/s,,s,s,,s,s,,s,s,,s,s
Result 1,Trial     9,0:01:00-0:02:00,597,test1,saline,148.52,2.47864,1,60,60,5,24,60,4,36,61.24,0,0,-
Result 1,Trial     9,0:02:00-0:03:00,597,test1,saline,139.504,2.32817,1,60,120,2,40.12,120,2,19.88,152.4,0,0,-
Result 1,Trial     9,0:03:00-0:04:00,597,test1,saline,118.112,1.97115,1,60,180,1,28.96,211.04,1,31.04,180,0,0,-
Result 1,Trial     9,0:04:00-0:05:00,597,test1,saline,125.074,2.08457,1,60,240,3,58.28,240,2,1.72,259.04,0,0,-
Result 1,Trial    10,Start-0:01:00,581,test1,drug,219.443,3.65983,1,60,0,4,43.2,0,4,16.8,7.36,0,0,-
Result 1,Trial    10,0:01:00-0:02:00,581,test1,drug,154.805,2.58009,1,60,60,2,15.36,99.04,3,44.64,60,0,0,-
Result 1,Trial    10,0:02:00-0:03:00,581,test1,drug,192.374,3.20623,1,60,120,2,41.96,123.44,2,18.04,120,0,0,-
Result 1,Trial    10,0:03:00-0:04:00,581,test1,drug,171.505,2.85841,1,60,180,2,36.64,180,2,23.36,181.48,0,0,-
Result 1,Trial    10,0:04:00-0:05:00,581,test1,drug,161.648,2.70858,1,60,240,2,37.84,248.96,2,22.16,240,0,0,-
Result 1,Trial    11,Start-0:01:00,580,test1,drug,271.711,4.53154,1,60,0,4,45.88,0,3,14.12,1.52,0,0,-
Result 1,Trial    11,0:01:00-0:02:00,580,test1,drug,214.091,3.56818,1,60,60,3,37.24,60,3,22.76,76,0,0,-
Result 1,Trial    11,0:02:00-0:03:00,580,test1,drug,225.537,3.76398,1,60,120,3,33.56,136.72,4,26.44,120,0,0,-
Result 1,Trial    11,0:03:00-0:04:00,580,test1,drug,186.956,3.12426,1,60,180,3,29.08,180.36,3,30.92,180,0,0,-
Result 1,Trial    11,0:04:00-0:05:00,580,test1,drug,146.565,2.44275,1,60,240,2,14.84,240,2,45.16,245.64,0,0,-
Result 1,Trial    12,Start-0:01:00,579,test1,drug,184.831,3.08256,1,60,0,2,16.52,16.72,3,43.48,0,0,0,-
Result 1,Trial    12,0:01:00-0:02:00,579,test1,drug,166.733,2.78259,1,60,60,2,20.12,83.08,2,39.88,60,0,0,-
Result 1,Trial    12,0:02:00-0:03:00,579,test1,drug,164.782,2.75004,1,60,120,2,44.72,120,2,15.28,143.52,0,0,-
Result 1,Trial    12,0:03:00-0:04:00,579,test1,drug,172.322,2.87203,1,60,180,1,43.48,185.64,2,16.52,180,0,0,-
Result 1,Trial    12,0:04:00-0:05:00,579,test1,drug,205.791,3.43443,1,60,240,2,28.12,246.64,2,31.88,240,0,0,-
Result 1,Trial    13,Start-0:01:00,584,test1,drug,237.73,3.96481,1,60,0,7,31.76,0,6,28.24,9.12,0,0,-
Result 1,Trial    13,0:01:00-0:02:00,584,test1,drug,173.254,2.88756,1,60,60,3,19.32,60,2,40.68,62.2,0,0,-
Result 1,Trial    13,0:02:00-0:03:00,584,test1,drug,245.12,4.09079,1,60,120,5,24.96,120,4,35.04,130.08,0,0,-
Result 1,Trial    13,0:03:00-0:04:00,584,test1,drug,169.1,2.81833,1,60,180,3,55.16,180,2,4.84,197.96,0,0,-
Result 1,Trial    13,0:04:00-0:05:00,584,test1,drug,129.246,2.1541,1,60,240,2,56.8,240,1,3.2,242.64,0,0,-
Result 1,Trial    14,Start-0:01:00,585,test1,drug,245.667,4.1054,1,60,0,5,30.04,0,4,29.96,4.72,0,0,-
Result 1,Trial    14,0:01:00-0:02:00,585,test1,drug,174.633,2.91055,1,60,60,2,43.76,60,2,16.24,81,0,0,-
Result 1,Trial    14,0:02:00-0:03:00,585,test1,drug,242.587,4.04312,1,60,120,2,44.4,129.28,2,15.6,120,0,0,-
Result 1,Trial    14,0:03:00-0:04:00,585,test1,drug,172.549,2.87966,1,60,180,3,26.88,180,2,33.12,193.2,0,0,-
Result 1,Trial    14,0:04:00-0:05:00,585,test1,drug,153.379,2.55632,1,60,240,3,56.52,240,2,3.48,288.72,0,0,-
Result 1,Trial    15,Start-0:01:00,592,test1,drug,237.072,3.95911,1,60,0,6,11,9.08,7,49,0,0,0,-
Result 1,Trial    15,0:01:00-0:02:00,592,test1,drug,182.221,3.03702,1,60,60,3,6.72,72.24,3,53.28,60,0,0,-
Result 1,Trial    15,0:02:00-0:03:00,592,test1,drug,183.622,3.06037,1,60,120,4,24.28,120,4,35.72,120.16,0,0,-
Result 1,Trial    15,0:03:00-0:04:00,592,test1,drug,155.765,2.59608,1,60,180,2,21.56,189.64,2,38.44,180,0,0,-
Result 1,Trial    15,0:04:00-0:05:00,592,test1,drug,161.648,2.69773,1,60,240,2,33.08,240,2,26.92,267.24,0,0,-
Result 1,Trial    16,Start-0:01:00,589,test1,drug,191.319,3.19077,1,60,0,3,50.84,0,2,9.16,8.4,0,0,-
Result 1,Trial    16,0:01:00-0:02:00,589,test1,drug,175.591,2.92652,1,60,60,3,33.56,60,3,26.44,61.44,0,0,-
Result 1,Trial    16,0:02:00-0:03:00,589,test1,drug,110.442,1.8407,1,60,120,1,44.64,135.36,1,15.36,120,0,0,-
Result 1,Trial    16,0:03:00-0:04:00,589,test1,drug,166.376,2.77294,1,60,180,3,40.2,180,2,19.8,209.16,0,0,-
Result 1,Trial    16,0:04:00-0:05:00,589,test1,drug,159.228,2.6538,1,60,240,3,42.2,240,2,17.8,262.92,0,0,-
Result 1,Trial    17,Start-0:01:00,596,test1,drug,229.177,3.82216,1,60,0,3,40.64,0,3,19.36,12.28,0,0,-
Result 1,Trial    17,0:01:00-0:02:00,596,test1,drug,185.998,3.09997,1,60,60,1,40.44,79.56,1,19.56,60,0,0,-
Result 1,Trial    17,0:02:00-0:03:00,596,test1,drug,144.855,2.41748,1,60,120,2,44.72,120,1,15.28,140.24,0,0,-
Result 1,Trial    17,0:03:00-0:04:00,596,test1,drug,70.2655,1.17109,1,60,180,1,60,180,0,0,-,0,0,-
Result 1,Trial    17,0:04:00-0:05:00,596,test1,drug,97.8664,1.63111,1,60,240,1,43.16,240,1,16.84,283.16,0,0,-
Result 1,Trial    18,Start-0:01:00,598,test1,drug,124.511,2.07657,1,60,0,1,60,0,0,0,-,0,0,-
Result 1,Trial    18,0:01:00-0:02:00,598,test1,drug,159.344,2.85154,4,56.52,60,5,48.68,60,1,7.84,106,0,0,-
Result 1,Trial    18,0:02:00-0:03:00,598,test1,drug,207.981,3.46635,1,60,120,3,43.92,120,3,16.08,142.92,0,0,-
Result 1,Trial    18,0:03:00-0:04:00,598,test1,drug,154.139,2.56899,1,60,180,1,44.76,186.44,2,15.24,180,0,0,-
Result 1,Trial    18,0:04:00-0:05:00,598,test1,drug,102.639,1.71066,1,60,240,1,51.08,248.92,1,8.92,240,0,0,-
Result 1,Trial    20,Start-0:01:00,579,test2,saline,476.404,7.94537,1,60,0,0,0,-,0,0,-,3,4.52,14.68
Result 1,Trial    20,0:01:00-0:02:00,579,test2,saline,310.345,5.17242,1,60,60,0,0,-,0,0,-,3,16,62.52
Result 1,Trial    20,0:02:00-0:03:00,579,test2,saline,270.194,4.50323,1,60,120,0,0,-,0,0,-,3,3.8,120
Result 1,Trial    20,0:03:00-0:04:00,579,test2,saline,325.322,5.42204,1,60,180,0,0,-,0,0,-,1,2.2,210.4
Result 1,Trial    20,0:04:00-0:05:00,579,test2,saline,596.547,9.94245,1,60,240,0,0,-,0,0,-,4,4.28,251
Result 1,Trial    20,0:05:00-0:06:00,579,test2,saline,598.919,9.98199,1,60,300,0,0,-,0,0,-,7,8.36,300
Result 1,Trial    20,0:06:00-0:07:00,579,test2,saline,398.925,6.64874,1,60,360,0,0,-,0,0,-,3,4.64,362
Result 1,Trial    20,0:07:00-0:08:00,579,test2,saline,151.615,2.52691,1,60,420,0,0,-,0,0,-,1,6.04,423.96
Result 1,Trial    20,0:08:00-0:09:00,579,test2,saline,212.641,3.54402,1,60,480,0,0,-,0,0,-,3,2.8,522.68
